Year,Month,Platform,Channel,KPI,Actual,Target
2025,Aug,Customer Portal,DSD,Fulfillment Rate %,80,
2025,Aug,Customer Portal,DSD,Digital Order Share %,3.9,
2025,Aug,Customer Portal,DSD,Volume UC,601635,162218
2025,Aug,Customer Portal,DSD,UC per Order,54,
2025,Aug,Customer Portal,DSD,Digital Volume Share %,5.57,
2025,Jan,Customer Portal,LKA,Registered Customers,1674,1307
2025,Jan,Customer Portal,LKA,Active Customers,547,654
2025,Jan,Customer Portal,LKA,Delivered Orders,1081,1294
2025,Jan,Customer Portal,LKA,Order Frequency,2,
2025,Jan,Customer Portal,LKA,Fulfillment Rate %,98,
2025,Jan,Customer Portal,LKA,Digital Order Share %,19.92,
2025,Jan,Customer Portal,LKA,Volume UC,99401,89415
2025,Jan,Customer Portal,LKA,UC per Order,92,
2025,Jan,Customer Portal,LKA,Digital Volume Share %,25.3,
2025,Feb,Customer Portal,LKA,Registered Customers,1356,1307
2025,Feb,Customer Portal,LKA,Active Customers,459,654
2025,Feb,Customer Portal,LKA,Delivered Orders,1076,1294
2025,Feb,Customer Portal,LKA,Order Frequency,2.3,
2025,Feb,Customer Portal,LKA,Fulfillment Rate %,85,
2025,Feb,Customer Portal,LKA,Digital Order Share %,16.57,
2025,Feb,Customer Portal,LKA,Volume UC,127200,111230
2025,Feb,Customer Portal,LKA,UC per Order,118,
2025,Feb,Customer Portal,LKA,Digital Volume Share %,22.28,
2025,Mar,Customer Portal,LKA,Registered Customers,1173,1307
2025,Mar,Customer Portal,LKA,Active Customers,378,654
2025,Mar,Customer Portal,LKA,Delivered Orders,1071,1294
2025,Mar,Customer Portal,LKA,Order Frequency,2.8,
2025,Mar,Customer Portal,LKA,Fulfillment Rate %,79,
2025,Mar,Customer Portal,LKA,Digital Order Share %,15.68,
2025,Mar,Customer Portal,LKA,Volume UC,155200,197356
2025,Mar,Customer Portal,LKA,UC per Order,145,
2025,Mar,Customer Portal,LKA,Digital Volume Share %,17.24,
2025,Apr,Customer Portal,LKA,Registered Customers,1234,1307
2025,Apr,Customer Portal,LKA,Active Customers,398,431
2025,Apr,Customer Portal,LKA,Delivered Orders,1101,854
2025,Apr,Customer Portal,LKA,Order Frequency,2.8,
2025,Apr,Customer Portal,LKA,Fulfillment Rate %,77,
2025,Apr,Customer Portal,LKA,Digital Order Share %,19.51,
2025,Apr,Customer Portal,LKA,Volume UC,144700,102351
2025,Apr,Customer Portal,LKA,UC per Order,131,
2025,Apr,Customer Portal,LKA,Digital Volume Share %,19.31,
2025,May,Customer Portal,LKA,Registered Customers,1220,1307
2025,May,Customer Portal,LKA,Active Customers,754,431
2025,May,Customer Portal,LKA,Delivered Orders,2448,854
